source,c0,p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,mpi_ranks,threads_per_node,ranks_per_node
sample,cufft,float,512,512,1024,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,1 32 4,2 64 1,11,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2a,-p2p_pl,-pencils, ,8 4 4,1 64 2,14,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,1 8 16,2 2 32,15,128,64,4
sample,cufft,float,512,512,1024,-reorder, , ,-pencils,-r2c_dir 1,128 1 1,16 4 2,16,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2a, ,-pencils,-r2c_dir 1,1 8 16,2 64 1,16,128,64,4
sample,cufft,double,512,512,1024,-reorder,-a2av,-p2p,-pencils, ,8 8 2,16 4 2,15,128,64,4
sample,cufft,float,512,512,1024,-no-reorder, , ,-pencils, ,4 4 8,1 2 64,15,128,64,4
sample,cufft,float,512,512,1024,-reorder, , ,-pencils, ,8 8 2,4 2 16,16,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p,-pencils, ,4 1 32,8 1 16,16,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,32 4 1,4 8 4,15,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils, ,4 4 8,8 1 16,14,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p,-pencils, ,1 16 8,2 32 2,16,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,4 4 8,1 2 64,13,128,64,4
sample,cufft,float,512,512,1024,-no-reorder,-a2a,-p2p_pl,-pencils, ,4 4 8,4 16 2,16,128,64,4
sample,cufft,double,512,512,1024,-reorder,-a2av,-p2p,-pencils, ,2 8 8,4 2 16,15,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,4 32 1,32 2 2,9,128,64,4
sample,cufft,float,512,512,1024,-no-reorder,-a2a,-p2p,-pencils, ,4 4 8,16 2 4,16,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,4 16 2,8 1 16,15,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p_pl,-pencils, ,32 1 4,16 1 8,12,128,64,4
sample,cufft,double,512,512,1024,-reorder,-a2av,-p2p_pl,-slabs, ,1 32 4,16 1 8,16,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p_pl,-pencils, ,4 4 8,2 64 1,14,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p,-pencils,-r2c_dir 1,8 16 1,1 16 8,15,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2a,-p2p_pl,-slabs,-r2c_dir 0,1 16 8,32 2 2,15,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,1 4 32,1 2 64,16,128,64,4
sample,cufft,float,512,512,1024,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,1 8 16,1 64 2,13,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2av,-p2p,-pencils, ,32 1 4,4 2 16,13,128,64,4
sample,cufft,float,512,512,1024,-reorder,-a2a,-p2p,-pencils,-r2c_dir 1,8 8 2,2 64 1,16,128,64,4
sample,cufft,float,512,512,1024,-reorder, , ,-pencils, ,32 4 1,1 8 16,16,128,64,4
